season,date,home_team,away_team,home_score,away_score,venue,espn_match_id,sky_match_id
2023-24,2024-02-11,Ireland,Italy,36,0,Aviva Stadium,597382,98095
2023-24,2024-02-24,Ireland,Wales,31,7,Aviva Stadium,597383,98087
2023-24,2024-02-24,Scotland,England,30,21,Scottish Gas Murrayfield,597384,98088
2023-24,2024-02-25,France,Italy,13,13,Stade Pierre Mauroy,597385,98089
2023-24,2024-03-09,Italy,Scotland,31,29,Stadio Olimpico,597386,98097
2023-24,2024-03-09,England,Ireland,23,22,Allianz Stadium,597387,98098
2023-24,2024-03-10,Wales,France,24,45,Principality Stadium,597388,98096
2023-24,2024-03-16,Wales,Italy,21,24,Principality Stadium,597389,98100
2023-24,2024-03-16,Ireland,Scotland,17,13,Aviva Stadium,597390,98101
2023-24,2024-03-16,France,England,33,31,Groupama Stadium,597391,98099
2024-25,2025-01-31,France,Wales,43,0,Stade de France,600250,108360
2024-25,2025-02-01,Scotland,Italy,31,19,Scottish Gas Murrayfield,600251,108361
2024-25,2025-02-01,Ireland,England,27,22,Aviva Stadium,600252,108362
2024-25,2025-02-08,Italy,Wales,22,15,Stadio Olimpico,600253,108363
2024-25,2025-02-08,England,France,26,25,Allianz Stadium,600254,108364
2024-25,2025-02-09,Scotland,Ireland,18,32,Scottish Gas Murrayfield,600255,108365
2024-25,2025-02-22,Wales,Ireland,18,27,Principality Stadium,600256,108366
2024-25,2025-02-22,England,Scotland,16,15,Allianz Stadium,600257,108367
2024-25,2025-02-23,Italy,France,24,73,Stadio Olimpico,600258,108368
2024-25,2025-03-08,Ireland,France,27,42,Aviva Stadium,600259,108369
2024-25,2025-03-08,Scotland,Wales,35,29,Scottish Gas Murrayfield,600260,108370
2024-25,2025-03-09,England,Italy,47,24,Allianz Stadium,600261,108371
2024-25,2025-03-15,Italy,Ireland,17,22,Stadio Olimpico,600262,108372
2024-25,2025-03-15,Wales,England,14,68,Principality Stadium,600263,108373
2024-25,2025-03-15,France,Scotland,35,16,Stade de France,600264,108374
